# Cluster Slope_All Y-Intercept_All Slope_Passive Y-Intercept_Passive Slope_SF Y-Intercept_SF
SpARCS0219 -0.04418065197863677 0.8722773826620428 -0.03872825461000862 1.0102285132207987 -0.13357749325302568 1.6876197473386594 
SpARCS0035 0.08039929633130977 -0.4602276373146457 0.1624277587941265 -1.556782312601119 0.16177281565153456 -1.1816477521086282 
SpARCS1634 0.012953362081723612 0.17465948871291187 -0.01914643493537871 0.3928282975806759 0.10344794467192754 -0.5948580480759902 
SpARCS1616 0.038907875517500926 -0.09394232681182431 0.11431543763489775 -0.9490922991761076 0.0957280823281816 -0.5422800564277992 
SPT0546 -0.003929417726099027 0.41259941940051437 0.17971545321991605 -1.5950557281007767 0.036944643323731534 0.059275929876434826 
SpARCS1638 -0.011859408280734018 0.4322109550079046 0.16152422826940324 -1.4575317684127553 0.08969172867950101 -0.3906864863380794 
SPT0205 0.21710551395317793 -1.8464018080540505 0.2901091793779586 -2.632352511019369 0.2214847783150439 -1.8679705652665473 
SPT2106 0.09142694417642289 -0.5569628682111389 0.16541950387469512 -1.4119725502866771 0.18915048392357117 -1.430080509339538 
SpARCS1051 0.08072055330039564 -0.41972164048788624 0.1473456111551119 -1.222666046004711 0.16517667580438164 -1.1018120793999826 
SpARCS0335 -0.1096181484699689 1.5531218473113009 0.14711201143552785 -1.2416924875342177 -0.11357566158126702 1.5982625452791197 
SpARCS1034 -0.006131340132217068 0.3487942612641059 0.07597141629866772 -0.604901651394058 0.04881003217448291 -0.11052023628067582 
